m1,m3,alpha12,alpha23,G1,S1,G2,S2,dist1,dist2,S1/G2,S1/G1,phi_theo,phi_approx,phi_error
3.0,10.0,0.8,0.9,0.4576076075274294,0.08447333110564693,0.8623348800563606,0.08880839006816402,0.025963278865704178,0.09919679473017534,0.0979588476116447,0.18459774207443333,-1.106118e-05,-1.140945e-05,-0.031485654916904145
10.0,1.0,0.8,0.9,0.1706311212749995,0.13911781676805562,0.8826160678504484,0.035078470007729116,0.04651358502725736,0.03507573089829754,0.1576198551504593,0.8153132660005492,-2.761385e-05,-2.506123e-05,0.09243965463433848
10.0,3.0,0.8,0.9,0.5444938109944807,0.13608293133224944,0.9161522160562002,0.006632035651230351,0.035855520178433554,0.006820112818041464,0.1485374689350766,0.2499255796566416,-2.504313e-05,-2.405765e-05,0.03935151186738934
10.0,10.0,0.8,0.9,0.4673581085744892,0.11714950894563488,0.913630307891309,0.030849494164847092,0.021534943116734907,0.04938730668229255,0.1282241930174362,0.2506632639860643,-1.468875e-05,-1.480919e-05,-0.00819896378381744
1.0,1.0,0.85,0.75,0.47019206767510724,0.024970208997415436,0.8993422948364492,0.045465061818117394,0.01661185706672587,0.07459518280320927,0.02776496684386051,0.05310640207284254,5.203284e-05,5.182448e-05,0.004004404328996272
1.0,3.0,0.85,0.75,0.43438137867611565,0.09078332023734957,0.8970150487898615,0.13407676846670247,0.04007943982111578,0.14521362896835627,0.10120601695570533,0.20899450274326703,5.117694e-05,5.009252e-05,0.021189625175502737
1.0,10.0,0.85,0.75,0.4348087965001074,0.22435393208757504,0.7550667778073784,0.21345395054658997,0.08391324821506921,0.17882136505966614,0.29713124544966923,0.515982965141138,3.334184e-05,3.173621e-05,0.04815661473947727
3.0,1.0,0.85,0.75,0.5704897208531728,0.024959707025052003,0.8681507706140185,0.007739112390844524,0.01273667405545712,0.01013029732687843,0.02875042892307601,0.04375137029239461,2.312838e-05,2.322499e-05,-0.0041768229375762946
3.0,3.0,0.85,0.75,0.47074953869698405,0.030613841897385318,0.8968799576456323,0.04714415529740364,0.016611783769334493,0.07459517620977646,0.03413371169286537,0.0650321229886347,3.004117e-05,2.992089e-05,0.004003920410373383
3.0,10.0,0.85,0.75,0.43666426822348403,0.115591347072517,0.8132988316921653,0.14797729704496074,0.04370688158513015,0.14973060149232603,0.14212653771064124,0.26471446253843134,2.897217e-05,2.829533e-05,0.023361459819705242
10.0,1.0,0.85,0.75,0.1573110762450002,0.036381729917978334,0.820184236152042,0.05803510907413678,0.012986706840531484,0.06110832536991324,0.04435799703816065,0.2312725256632058,7.883246e-06,7.942647e-06,-0.007534981252743744
10.0,3.0,0.85,0.75,0.5178821540784214,0.03456636894444047,0.8683325356872152,0.013739693009598142,0.012718947895199943,0.016594077128593517,0.03980775512123817,0.06674562672651235,1.222506e-05,1.228181e-05,-0.004642004629384973
10.0,10.0,0.85,0.75,0.4728931717613869,0.050093363659670744,0.8967370754586692,0.052928045820549365,0.016611528140217737,0.07459515907985007,0.055861818397604054,0.10592955587218104,1.645421e-05,1.638836e-05,0.004002221984865322
1.0,1.0,0.85,0.8,0.44805900288798406,0.036129473041033915,0.88969779936025,0.03623360072193416,0.01897522950658297,0.060648989843846465,0.04060870226611028,0.08063552525037954,3.757427e-05,3.705775e-05,0.013746772204888834
1.0,3.0,0.85,0.8,0.4251300665154311,0.1128757292045093,0.8863763892760986,0.1055644609477078,0.043135295595481606,0.11851222490842875,0.1273451443090611,0.2655086950911109,3.190518e-05,3.075112e-05,0.036171727686548666
1.0,10.0,0.85,0.8,0.45277893998215,0.16122352178856653,0.8611782950241945,0.16534079564294415,0.06901969621300692,0.1476252286951538,0.18721270928459363,0.35607557585368804,1.693193e-05,1.590525e-05,0.06063552880401229
3.0,1.0,0.85,0.8,0.5474724313594312,0.025905653905948504,0.8585059053143278,0.004725321448408115,0.01309884260387085,0.00612131671646035,0.030175277474024566,0.04731864550991556,1.798370e-05,1.798135e-05,0.00013099488671593134
3.0,3.0,0.85,0.8,0.4483011494403337,0.03888702497887187,0.8828442710334096,0.036554276096602396,0.018975077761054747,0.06064898195700339,0.04404743424721195,0.08674308559641003,2.169350e-05,2.139531e-05,0.013745525134042666
3.0,10.0,0.85,0.8,0.4281018017222183,0.11985778072821447,0.8331626119854635,0.11339988419704028,0.046004207929144066,0.12235525885126883,0.14385880859750544,0.2799749504581305,1.774761e-05,1.706336e-05,0.03855457006658367
10.0,1.0,0.85,0.8,0.16256876128692552,0.03532412710177551,0.8214395761076502,0.04535044388576579,0.013073022622060452,0.046890861810510824,0.04300270906005904,0.2172872993688513,6.319543e-06,6.358678e-06,-0.00619267213798853
10.0,3.0,0.85,0.8,0.4990829239499867,0.03623902995089731,0.8551285807066351,0.009236621385208999,0.013027018480090271,0.011231800789233973,0.04237845719172572,0.07261123996005289,9.545594e-06,9.552474e-06,-0.000720675040229782
10.0,10.0,0.85,0.8,0.44947113174472336,0.0533768117332315,0.8711770214241237,0.037730744710444186,0.018974547916556485,0.06064895678109785,0.06126976540999185,0.11875470517102486,1.188199e-05,1.171872e-05,0.013741159452766714
1.0,1.0,0.85,0.85,0.46760345786239443,0.04851612045500777,0.8615306962849167,0.028809838172675493,0.020162383878627566,0.048735560637802836,0.05631386166995379,0.1037548367943956,1.106735e-05,1.050070e-05,0.05120081608941472
1.0,3.0,0.85,0.85,0.45420922354856236,0.09316317995585743,0.8288214913165772,0.08130424909322084,0.037142083902037264,0.0946785021477518,0.11240439700455687,0.20511071798148275,7.871766e-06,6.946120e-06,0.11759067695293624
1.0,10.0,0.85,0.85,0.4875535747106365,0.11072764599705953,0.7977474715101606,0.12891964551849383,0.048570889663291726,0.11895945696882487,0.13880037223740577,0.22710867428831077,3.492364e-06,2.930498e-06,0.1608843229746926
3.0,1.0,0.85,0.85,0.6013633583675955,0.031547592967875404,0.818385950721608,0.002414360845947832,0.014232575171781411,0.002622554778065128,0.03854855149951983,0.05246011837753391,5.894997e-06,5.985879e-06,-0.015416870340234923
3.0,3.0,0.85,0.85,0.46789987362490876,0.05335145881460345,0.8665859735596236,0.029193170870133164,0.020162181089978037,0.0487355515559377,0.061565107724343655,0.11402323835071725,6.389715e-06,6.062602e-06,0.051193634555791165
