m2,dist1,psi_theo,psi_approx,S2psi
0.3333333333333333,0.08639819959309404,0.46705685156581006,0.2670238017114711,1095.6261365177695
0.3333333333333333,0.08764123627349922,0.4657451545683921,0.2650461924187279,1099.2734883724663
0.3333333333333333,0.08889141111829185,0.4644068063403166,0.26304655857768483,1102.895498844226
0.3333333333333333,0.0901483840411684,0.46304126338823104,0.2610248638472847,1106.4893901455262
0.3333333333333333,0.09141179737768841,0.46164797018885917,0.2589810767021574,1110.052292221634
0.3333333333333333,0.09268127537228772,0.4602263589361859,0.25691517053093127,1113.5812408274076
0.3333333333333333,0.09395642365884134,0.4587758492869106,0.2548271237337955,1117.0731755987144
0.3333333333333333,0.09523682873560538,0.45729584810475404,0.25271691981914396,1120.5249381226033
0.3333333333333333,0.09652205743482702,0.4557857492038276,0.25058454749917863,1123.9332700080379
0.3333333333333333,0.09781165638774626,0.4542449330915871,0.24843000078444794,1127.2948109601891
0.3333333333333333,0.09910515148588028,0.45267276671216417,0.24625327907711858,1130.606096863732
0.3333333333333333,0.10040204733901857,0.45106860319027225,0.24405438726295411,1133.863557876374
0.3333333333333333,0.10170182673111715,0.4494317815766456,0.24183333580180652,1137.0635165389242
0.3333333333333333,0.10300395007490756,0.44776162659568935,0.23959014081657665,1140.2021859058596
0.3333333333333333,0.10430785486616986,0.44605744839601774,0.23732482418051867,1143.2756677007794
0.3333333333333333,0.10561295513890882,0.44431854230485257,0.235037413602717,1146.2799505030155
0.3333333333333333,0.10691864092259742,0.4425441885872183,0.23272794271171302,1149.2109079706452
0.3333333333333333,0.10822427770298888,0.44073365221110095,0.23039645113705418,1152.0642971075529
0.3333333333333333,0.10952920588754787,0.4388861826194252,0.22804298458877792,1154.8357565791434
0.3333333333333333,0.11083274027756113,0.43700101351045845,0.22566759493458763,1157.5208050868575
0.3333333333333333,0.11213416954832138,0.43507736262775704,0.22327034027467207,1160.114839807856
0.3333333333333333,0.11343275573923076,0.4331144315612456,0.22085128501405502,1162.6131349092113
0.3333333333333333,0.1147277337559595,0.43111140556093935,0.21841049993228204,1165.0108401459318
0.3333333333333333,0.11601831088671588,0.42906745336533786,0.21594806225046073,1167.302979553843
0.3333333333333333,0.11730366633480123,0.42698172704588344,0.2134640556953726,1169.4844502464935
0.3333333333333333,0.11858295077021541,0.42485336187008216,0.2109585705606689,1171.5500213302562
0.3333333333333333,0.11985528590262913,0.42268147618507185,0.20843170376496223,1173.4943329484227
0.3333333333333333,0.12111976407887193,0.42046517132432754,0.20588355890674087,1175.311895469429
0.3333333333333333,0.12237544790771883,0.4182035315397629,0.20331424631592454,1176.9970888325788
0.3333333333333333,0.12362136991548629,0.4158956239624063,0.2007238831020649,1178.5441620686506
0.3333333333333333,0.12485653223564155,0.4135404985941256,0.19811259319892513,1179.947233010402
0.3333333333333333,0.1260799063364109,0.4111371883339945,0.19548050740544332,1181.2002882126164
0.3333333333333333,0.12729043279011437,0.4086847090425707,0.19282776342297483,1182.2971831001864
0.3333333333333333,0.12848702108868457,0.4061820596476962,0.19015450588856225,1183.2316423653763
0.3333333333333333,0.12966854950951578,0.4036282222957837,0.1874608864043561,1183.9972606353103
0.3333333333333333,0.13083386503672867,0.4010221625527284,0.18474706356284715,1184.5875034342073
0.3333333333333333,0.13198178334252866,0.39836282965880354,0.18201320296801798,1184.9957084636503
0.3333333333333333,0.13311108883446002,0.3956491568425888,0.17925947725215288,1185.21508722997
0.3333333333333333,0.13422053477363863,0.39288006169842526,0.1764860660883154,1185.2387270433107
0.3333333333333333,0.13530884347016248,0.3900544466330037,0.17369315619838277,1185.0595934196863
0.3333333333333333,0.13637470656207898,0.38717119938680833,0.1708809413565149,1184.6705329180463
0.3333333333333333,0.13741678538410898,0.384229193635955,0.16804962238801374,1184.0642764429267
0.3333333333333333,0.13843371143341246,0.3812272896810967,0.16519940716348605,1183.2334430497128
0.3333333333333333,0.13942408693895142,0.3781643352292661,0.1623305105882369,1182.170544285061
0.3333333333333333,0.14038648554294247,0.3750391662764809,0.15944315458679797,1180.8679891058682
